step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d,leader_x,leader_y,follower_x,follower_y,pf_leader_x,pf_leader_y,pf_neff,pf_cov_xx,pf_cov_xy,pf_cov_yy,pf_cov_vxvx,pf_cov_vyvy
0,1,0.0,2.003715459888664,2.0119881957194226,0.01852190099186932,2.0119881629943848,2.0119245052337646,-0.016008902341127396,0.0,0.0,0.00820913352072239,-0.016603341326117516,599.9999996399999,0.24295222759246826,0.011304554529488087,0.23764288425445557,0.24792958796024323,0.25340399146080017
1,1,0.0,2.015832546419886,2.0241658176931665,0.01918889619554937,2.0241658687591553,2.0239126682281494,-0.03201201185584068,0.0,0.0,0.008133226074278355,-0.0173799991607666,599.9999996399999,0.24349066615104675,0.011115646921098232,0.23752117156982422,0.2501024603843689,0.25755640864372253
2,1,0.0,2.028416188397644,2.036481318805836,0.019559646222888166,2.0364811420440674,2.0359151363372803,-0.04801790788769722,0.0,0.0,0.0077215018682181835,-0.017971036955714226,599.9999996399999,0.2446356862783432,0.011069556698203087,0.2382192611694336,0.25105106830596924,0.2594757676124573
3,1,0.0,2.040767806838093,2.0489215034691655,0.01977523240346185,2.048921585083008,2.0479209423065186,-0.06402453780174255,0.0,0.0,0.007667046505957842,-0.018228445202112198,599.9999996399999,0.2455177903175354,0.010627149604260921,0.23849231004714966,0.2520146071910858,0.25945454835891724
4,1,0.0,2.053323195438507,2.061481546670912,0.01981417932645833,2.061481475830078,2.059927463531494,-0.08003132045269012,0.0,0.0,0.007531616371124983,-0.018326932564377785,599.9999996399999,0.24611975252628326,0.010356727987527847,0.23917905986309052,0.2531430423259735,0.2602600157260895
5,1,0.0,2.0662865338578533,2.074158575062869,0.020614214175568153,2.0741586685180664,2.0719339847564697,-0.09603831171989441,0.0,0.0,0.007070539984852076,-0.019363710656762123,599.9999996399999,0.2473555952310562,0.010349624790251255,0.2404416799545288,0.25464722514152527,0.2594972550868988
6,1,0.0,2.0789710504794603,2.0869502215176117,0.020320916379395357,2.0869500637054443,2.083940267562866,-0.11204547435045242,0.0,0.0,0.0070497747510671616,-0.019058864563703537,599.9999996399999,0.2488725185394287,0.010417181998491287,0.24170708656311035,0.2557431757450104,0.2604314386844635
7,1,0.0,2.091430590424549,2.099854853988499,0.021030355092777914,2.0998549461364746,2.095946788787842,-0.12805259227752686,0.0,0.0,0.00732412887737155,-0.01971377618610859,599.9999996399999,0.250436931848526,0.010484758764505386,0.24245886504650116,0.25928181409835815,0.2619423270225525
8,1,0.0,2.1046366800459215,2.112869939218779,0.021984398276055098,2.11286997795105,2.1079530715942383,-0.14405980706214905,0.0,0.0,0.00692507391795516,-0.020865213125944138,599.9999996399999,0.2520446181297302,0.01053321547806263,0.24372459948062897,0.2596158981323242,0.2618512809276581
9,1,0.0,2.1175574302649807,2.1259939273533184,0.022083396426802935,2.1259939670562744,2.119959592819214,-0.16006718575954437,0.0,0.0,0.006976739969104528,-0.020952362567186356,599.9999996399999,0.2538105249404907,0.010370073840022087,0.24542410671710968,0.26040175557136536,0.2638184428215027
10,1,0.0,2.1307266852533897,2.139224341627779,0.022344738242010654,2.1392242908477783,2.1319658756256104,-0.17607466876506805,0.0,0.0,0.006870748475193977,-0.02126217633485794,599.9999996399999,0.25577512383461,0.010322137735784054,0.24694085121154785,0.2602754533290863,0.2635515630245209
11,1,0.0,2.1441130121599308,2.1525592113305207,0.02258552549221596,2.152559280395508,2.1439719200134277,-0.19208218157291412,0.0,0.0,0.006648536305874586,-0.021584784612059593,599.9999996399999,0.2576199471950531,0.010100383311510086,0.24854692816734314,0.2605833113193512,0.26503416895866394
12,1,0.0,2.1573519472809837,2.1659966139527755,0.022778166166196115,2.165996789932251,2.155977725982666,-0.20808982849121094,0.0,0.0,0.006686187814921141,-0.02177475020289421,599.9999996399999,0.2596541941165924,0.010021168738603592,0.25036221742630005,0.2619049549102783,0.26633206009864807
13,1,0.0,2.1706571725578234,2.179535351291333,0.023156866868729968,2.179535388946533,2.1679840087890625,-0.22409749031066895,0.0,0.0,0.006740990094840527,-0.02215399593114853,599.9999996399999,0.2616215646266937,0.009810948744416237,0.25276559591293335,0.26267629861831665,0.2682994306087494
14,1,0.0,2.183987191205639,2.193172386234584,0.02324888276072153,2.1931724548339844,2.1799895763397217,-0.24010531604290009,0.0,0.0,0.0069000921212136745,-0.022201335057616234,599.9999996399999,0.26346659660339355,0.009636635892093182,0.2548219859600067,0.26266512274742126,0.26742374897003174
15,1,0.0,2.1970212000150675,2.206906349969416,0.02319246653344196,2.206906318664551,2.1919949054718018,-0.256113201379776,0.0,0.0,0.007488114293664694,-0.021950367838144302,599.9999996399999,0.26556912064552307,0.009827426634728909,0.2572808563709259,0.2673642933368683,0.2689511775970459
16,1,0.0,2.2111521226883695,2.22073545800679,0.02346717473397055,2.220735549926758,2.2039999961853027,-0.27212128043174744,0.0,0.0,0.006994470953941345,-0.022400572896003723,599.9999996399999,0.26859351992607117,0.009369564242661,0.26044270396232605,0.26741859316825867,0.27097412943840027
17,1,0.0,2.224879106116745,2.2346586324266813,0.023465054772491955,2.234658718109131,2.216005563735962,-0.28812938928604126,0.0,0.0,0.007054678630083799,-0.02237946167588234,599.9999996399999,0.2713243365287781,0.009035887196660042,0.26281386613845825,0.2687961161136627,0.27017828822135925
18,1,0.0,2.23878610215514,2.248673449705361,0.024183688384668466,2.248673439025879,2.228010892868042,-0.3041377067565918,0.0,0.0,0.006925379857420921,-0.02317088469862938,599.9999996399999,0.2738687992095947,0.008806116878986359,0.2656002342700958,0.27034643292427063,0.26858022809028625
19,1,0.0,2.2528292337616285,2.262778877781463,0.024730169695511433,2.2627787590026855,2.2400166988372803,-0.32014596462249756,0.0,0.0,0.006765534169971943,-0.02378673665225506,599.9999996399999,0.2762042284011841,0.008665673434734344,0.26838868856430054,0.27081558108329773,0.2682585120201111
20,1,0.0,2.266621477373205,2.2769720819582644,0.025242556605316192,2.2769720554351807,2.2520217895507812,-0.3361543118953705,0.0,0.0,0.006961169186979532,-0.024263733997941017,599.9999996399999,0.27932560443878174,0.009077389724552631,0.27142971754074097,0.2711990475654602,0.26981234550476074
21,1,0.0,2.2808068863077136,2.291252364017431,0.02551663955395359,2.291252374649048,2.2640271186828613,-0.35216274857521057,0.0,0.0,0.006868226919323206,-0.02457491308450699,599.9999996399999,0.28255799412727356,0.008937849663197994,0.2753196954727173,0.27154165506362915,0.2700873911380768
22,1,0.0,2.2950708055227964,2.305617650345647,0.02539602018766222,2.305617570877075,2.2760322093963623,-0.3681713342666626,0.0,0.0,0.006845163181424141,-0.024456115439534187,599.9999996399999,0.28589749336242676,0.008924713358283043,0.2790991961956024,0.2723561227321625,0.27126240730285645
23,1,0.0,2.30972097446916,2.3200666063467774,0.02557974029419196,2.3200666904449463,2.2880373001098633,-0.38418012857437134,0.0,0.0,0.006453964859247208,-0.024752160534262657,599.9999996399999,0.28928205370903015,0.009048951789736748,0.28244709968566895,0.27202358841896057,0.27351245284080505
24,1,0.0,2.3236755850641977,2.3345973917195866,0.025765547585177826,2.33459734916687,2.300042152404785,-0.4001888036727905,0.0,0.0,0.006884262431412935,-0.024828821420669556,599.9999996399999,0.2930590510368347,0.009105594828724861,0.2854738235473633,0.2740640342235565,0.2725929915904999
25,1,0.0,2.3379288366539495,2.3492083264830343,0.02617878807418503,2.349208354949951,2.312046527862549,-0.416197806596756,0.0,0.0,0.007042698562145233,-0.02521367371082306,599.9999996399999,0.296678364276886,0.008817614987492561,0.28888699412345886,0.2761141061782837,0.2712334096431732
26,1,0.0,2.3524088190382555,2.3638983272675897,0.026171360096706054,2.363898277282715,2.3240509033203125,-0.43220677971839905,0.0,0.0,0.007122023496776819,-0.02518366277217865,599.9999996399999,0.30138036608695984,0.008686928078532219,0.293366402387619,0.2776159942150116,0.27223026752471924
27,1,0.0,2.367006966492297,2.378665722531427,0.02606179512036442,2.3786659240722656,2.336055040359497,-0.44821587204933167,0.0,0.0,0.007180812768638134,-0.025053005665540695,599.9999996399999,0.3054034113883972,0.009031439200043678,0.29796916246414185,0.27870628237724304,0.27050530910491943
28,1,0.0,2.381506281025376,2.3935093297937704,0.027387075151586452,2.3935093879699707,2.3480591773986816,-0.464225172996521,0.0,0.0,0.007136920001357794,-0.026440806686878204,599.9999996399999,0.30926331877708435,0.00868704728782177,0.3025000989437103,0.2807622253894806,0.2705373466014862
29,1,0.0,2.396320639017103,2.4084274807438204,0.027531847111432584,2.4084274768829346,2.360063076019287,-0.4802345335483551,0.0,0.0,0.007070066407322884,-0.026608584448695183,599.9999996399999,0.31350427865982056,0.008607161231338978,0.3061056137084961,0.2831011712551117,0.27293214201927185
30,1,0.0,2.4106512385382346,2.4234190114444782,0.02776572009877421,2.4234189987182617,2.3720669746398926,-0.4962438642978668,0.0,0.0,0.007584559731185436,-0.026709729805588722,599.9999996399999,0.318543404340744,0.008330704644322395,0.3103254735469818,0.28623658418655396,0.2753916084766388
31,1,0.0,2.4251927677233343,2.4384823723814715,0.028431017118992992,2.4384822845458984,2.384070634841919,-0.5122533440589905,0.0,0.0,0.00785430334508419,-0.027324579656124115,599.9999996399999,0.3233675956726074,0.007953876629471779,0.31479209661483765,0.2873685359954834,0.2753908932209015
32,1,0.0,2.4402416869459924,2.453616447183149,0.028337794153210766,2.4536163806915283,2.3960742950439453,-0.5282628536224365,0.0,0.0,0.007821236737072468,-0.02723708562552929,599.9999996399999,0.32746264338493347,0.007699904963374138,0.31922557950019836,0.2893538773059845,0.278238981962204
33,1,0.0,2.4556370549170268,2.4688195300101206,0.028165337768280337,2.4688196182250977,2.4080774784088135,-0.5442726612091064,0.0,0.0,0.0075080557726323605,-0.02714618481695652,599.9999996399999,0.332101970911026,0.007707602810114622,0.32401180267333984,0.29117074608802795,0.27769404649734497
34,1,0.0,2.4709728926357544,2.4840900666378958,0.028448904309342347,2.4840900897979736,2.4200799465179443,-0.5602825284004211,0.0,0.0,0.00722542917355895,-0.02751605585217476,599.9999996399999,0.33729761838912964,0.007852481678128242,0.3288140594959259,0.29544004797935486,0.27869468927383423
35,1,0.0,2.486041540214281,2.4994284492627377,0.028441335499293258,2.4994285106658936,2.4320833683013916,-0.5762925148010254,0.0,0.0,0.007378495763987303,-0.027467569336295128,599.9999996399999,0.3423463702201843,0.007777049206197262,0.3343987762928009,0.29800811409950256,0.28148284554481506
36,1,0.0,2.5011794047427047,2.514831858501703,0.028541504881542147,2.514831781387329,2.4440860748291016,-0.5923027396202087,0.0,0.0,0.007502620108425617,-0.027537759393453598,599.9999996399999,0.34761732816696167,0.007642217446118593,0.34007754921913147,0.2992706894874573,0.2819770872592926
37,1,0.0,2.51643446474123,2.530299275244584,0.028796198367803408,2.530299186706543,2.4560883045196533,-0.6083129644393921,0.0,0.0,0.007529418915510178,-0.027794403955340385,599.9999996399999,0.3532025218009949,0.0074882241897284985,0.3457125425338745,0.29914790391921997,0.28281915187835693
38,1,0.0,2.5315490107978,2.5458305675869344,0.02916805599656745,2.545830488204956,2.4680910110473633,-0.6243236660957336,0.0,0.0,0.007749294862151146,-0.02811981365084648,599.9999996399999,0.35889485478401184,0.007107852958142757,0.352128803730011,0.29973164200782776,0.28115516901016235
39,1,0.0,2.547122724739215,2.5614230849426933,0.030001919889646175,2.5614230632781982,2.480092763900757,-0.6403343677520752,0.0,0.0,0.0074028815142810345,-0.029074259102344513,599.9999996399999,0.3653848469257355,0.006721808109432459,0.358477920293808,0.29749876260757446,0.28312015533447266
40,1,0.0,2.5628404805693377,2.5770765945326493,0.030055722414629966,2.5770764350891113,2.4920945167541504,-0.6563449501991272,0.0,0.0,0.007175235077738762,-0.029186682775616646,599.9999996399999,0.37180569767951965,0.006824209820479155,0.3655785322189331,0.29647400975227356,0.28246375918388367
41,1,0.0,2.578702264181113,2.592790113111477,0.030372651871533235,2.592790126800537,2.504096269607544,-0.6723558902740479,0.0,0.0,0.006782189942896366,-0.029605740681290627,599.9999996399999,0.3790351152420044,0.007039000745862722,0.37232163548469543,0.2984519302845001,0.28529319167137146
42,1,0.0,2.5939681353802344,2.608562207015222,0.030462816050080155,2.6085622310638428,2.5160977840423584,-0.688366711139679,0.0,0.0,0.007172617595642805,-0.02960636280477047,599.9999996399999,0.38517117500305176,0.00700505543500185,0.3783344626426697,0.3003130257129669,0.2832053005695343
43,1,0.0,2.609685424092445,2.624392599709826,0.030633007839694703,2.624392509460449,2.528099775314331,-0.7043777704238892,0.0,0.0,0.007108173333108425,-0.029796896502375603,599.9999996399999,0.39164990186691284,0.006945534143596888,0.38467180728912354,0.30211493372917175,0.28418102860450745
44,1,0.0,2.625149214218289,2.640279074017167,0.03170408698566984,2.6402790546417236,2.5401010513305664,-0.7203889489173889,0.0,0.0,0.00711737759411335,-0.03089485503733158,599.9999996399999,0.39859187602996826,0.006669541355222464,0.39124834537506104,0.3036803901195526,0.28170046210289
45,1,0.0,2.640612623161424,2.656221090820531,0.03255460615373136,2.6562211513519287,2.5521020889282227,-0.736400306224823,0.0,0.0,0.007247366476804018,-0.03173764422535896,599.9999996399999,0.4054509699344635,0.006133249029517174,0.398383229970932,0.30430471897125244,0.2834646999835968
46,1,0.0,2.6561292152825753,2.6722176560495567,0.032616225576092846,2.672217607498169,2.5641028881073,-0.7524118423461914,0.0,0.0,0.007617540191859007,-0.03171421214938164,599.9999996399999,0.4121462404727936,0.005097033455967903,0.4051264226436615,0.30627521872520447,0.28499916195869446
47,1,0.0,2.6720137450484467,2.6882676015379094,0.03216338060271617,2.688267707824707,2.5761032104492188,-0.7684236764907837,0.0,0.0,0.0078037497587502,-0.031202316284179688,599.9999996399999,0.41940733790397644,0.0055499509908258915,0.4113442003726959,0.3066205382347107,0.28717949986457825
48,1,0.0,2.6881504347256464,2.7043705393070225,0.032313557288006035,2.7043704986572266,2.588103771209717,-0.7844353914260864,0.0,0.0,0.0075788539834320545,-0.03141221031546593,599.9999996399999,0.4266678988933563,0.00513074267655611,0.4179145395755768,0.30843865871429443,0.28996965289115906
49,1,0.0,2.703846790894723,2.720524723176948,0.03316778655747881,2.720524787902832,2.6001036167144775,-0.8004473447799683,0.0,0.0,0.0076747555285692215,-0.03226763382554054,599.9999996399999,0.43406227231025696,0.005229847505688667,0.42523619532585144,0.3112383782863617,0.2913808822631836
50,1,0.0,2.7201151089882227,2.736730413818739,0.032588653827925564,2.7367305755615234,2.6121039390563965,-0.8164596557617188,0.0,0.0,0.007657517679035664,-0.031676217913627625,599.9999996399999,0.4415552318096161,0.005212308838963509,0.43271365761756897,0.31155896186828613,0.29110023379325867
51,1,0.0,2.736507192381269,2.752985696941037,0.03207338130209148,2.752985715866089,2.6241037845611572,-0.8324719667434692,0.0,0.0,0.007542483974248171,-0.031173910945653915,599.9999996399999,0.44935181736946106,0.004645052831619978,0.4410542845726013,0.31122735142707825,0.2916151285171509
52,1,0.0,2.7523237997850094,2.7692902382613718,0.032629260687266154,2.7692902088165283,2.636103630065918,-0.8484845757484436,0.0,0.0,0.007770767901092768,-0.031690437346696854,599.9999996399999,0.4579145610332489,0.004001696594059467,0.4487493336200714,0.30976754426956177,0.293875128030777
53,1,0.0,2.7683134386684696,2.785643066999073,0.03295985731924446,2.7856431007385254,2.6481034755706787,-0.8644971251487732,0.0,0.0,0.00793452188372612,-0.03199055418372154,599.9999996399999,0.4662541151046753,0.0035290548112243414,0.4572465121746063,0.31040310859680176,0.292316198348999
54,1,0.0,2.7846573013567566,2.8020425062661802,0.0329901066960694,2.8020424842834473,2.660102367401123,-0.8805098533630371,0.0,0.0,0.00785472709685564,-0.032041385769844055,599.9999996399999,0.47497880458831787,0.0032648411579430103,0.4658046364784241,0.31148743629455566,0.29437196254730225
