step,visible,err_obs_gt,err_obs_pf,gt_d,pf_d,obs_d
0,1,0.0,2.025383193720906,2.017184123602176,0.021435395232864956,2.017184019088745
1,1,0.0,2.0428546656899007,2.0344819697733603,0.021305678108448318,2.034482002258301
2,1,0.0,2.060403738195242,2.0518434309382,0.021675911283088437,2.0518434047698975
3,1,0.0,2.0779943017277116,2.06925654217763,0.02203565025448032,2.069256544113159
4,1,0.0,2.0960800884000435,2.0867167670659734,0.022392626935358997,2.086716651916504
5,1,0.0,2.113691285552449,2.1042224691773246,0.02303531145646973,2.104222536087036
6,1,0.0,2.131317709811141,2.121772525433166,0.023161388536604748,2.121772527694702
7,1,0.0,2.148676335350301,2.139365599069174,0.023208777614144863,2.1393656730651855
8,1,0.0,2.166947080248442,2.1570015934479976,0.02385468668441137,2.1570017337799072
9,1,0.0,2.184535509056178,2.1746782889323266,0.023828725687894847,2.174678325653076
10,1,0.0,2.2024863544935607,2.1923951655196925,0.02424739799267649,2.1923952102661133
11,1,0.0,2.220517967309883,2.2101507822470245,0.024544894904113476,2.210150718688965
12,1,0.0,2.2384322447000877,2.2279453939615568,0.02472484558480226,2.227945327758789
13,1,0.0,2.2562363880528418,2.2457769001953976,0.02476130303321067,2.245776891708374
14,1,0.0,2.274453973777369,2.2636446598520004,0.024815967337350964,2.2636446952819824
15,1,0.0,2.293171563076199,2.281548530610056,0.025098208878840227,2.281548500061035
16,1,0.0,2.311316524102388,2.299486956661996,0.02512234021393881,2.2994868755340576
17,1,0.0,2.329524660172913,2.3174598603357754,0.025250139453799784,2.31745982170105
18,1,0.0,2.3483704155007654,2.3354657358813227,0.025867814542010172,2.335465908050537
19,1,0.0,2.3661227459289487,2.353504062162594,0.025446422135736096,2.353504180908203
20,1,0.0,2.3843316598256776,2.371574101204076,0.025181152628602096,2.3715739250183105
21,1,0.0,2.402127886985055,2.389675125168085,0.025209673472223304,2.3896751403808594
22,1,0.0,2.4204808424298507,2.4078059736905946,0.025895798143197698,2.407805919647217
23,1,0.0,2.4388421682646846,2.425966676730993,0.026534992737453307,2.425966501235962
24,1,0.0,2.4566627588516754,2.4441560929710957,0.026303357962974682,2.4441561698913574
25,1,0.0,2.4751733933589706,2.4623740745531926,0.026611587209964354,2.462373971939087
26,1,0.0,2.4936563863939623,2.480619510720706,0.027066175535080266,2.4806196689605713
27,1,0.0,2.5122783451724087,2.498891795894807,0.027701283812799595,2.498891830444336
28,1,0.0,2.5304245908516423,2.517190814764625,0.027952549155634478,2.517190933227539
29,1,0.0,2.548625365525974,2.5355157645731627,0.027952520283479613,2.535515785217285
30,1,0.0,2.567065904787446,2.553865848277349,0.027870100032471735,2.553865909576416
31,1,0.0,2.5858308174566043,2.572240764509255,0.028091407417238992,2.5722408294677734
32,1,0.0,2.6043587237834394,2.590639746004731,0.02813008082468006,2.59063982963562
33,1,0.0,2.6232381783522665,2.609062272066297,0.029322039243396592,2.6090621948242188
34,1,0.0,2.6425248254701414,2.627508327657062,0.030068411657167355,2.6275084018707275
35,1,0.0,2.6612417580274905,2.645977646354473,0.03006145250560902,2.645977735519409
36,1,0.0,2.6800512189269092,2.6644686071511594,0.02991658589185266,2.66446852684021
37,1,0.0,2.699283129473747,2.682981193336951,0.030891059055697428,2.682981252670288
38,1,0.0,2.718804808448152,2.701515663622074,0.03188053032226124,2.7015156745910645
39,1,0.0,2.738107600244086,2.720071144213646,0.03275832984279426,2.7200710773468018
40,1,0.0,2.7573271511825643,2.7386467034725213,0.03347580183109875,2.7386467456817627
41,1,0.0,2.7763115306500765,2.757242411903948,0.0343487061922667,2.757242441177368
42,1,0.0,2.7956881836828527,2.775858087240748,0.0353328501345501,2.775858163833618
43,1,0.0,2.8148200069649993,2.79449309984365,0.03633212526083625,2.7944931983947754
44,1,0.0,2.833867413805702,2.8131466291812997,0.03686175691609195,2.8131465911865234
45,1,0.0,2.8525544813795065,2.8318187685680325,0.03695464929561825,2.8318188190460205
46,1,0.0,2.871594703901048,2.850508899497031,0.03761371807782426,2.85050892829895
47,1,0.0,2.8906127143834093,2.869217126785124,0.03792791378696201,2.8692171573638916
48,1,0.0,2.909788674525382,2.887944022151433,0.03827816262882287,2.887943983078003
49,1,0.0,2.9291602417712137,2.9066864802204604,0.039038587870328545,2.906686305999756
50,1,0.0,2.9481980207672605,2.9254453266461247,0.03909040543750904,2.925445318222046
51,1,0.0,2.966865511946275,2.9442205234286725,0.03984072839333363,2.944220542907715
52,1,0.0,2.9857845002136325,2.9630124192555827,0.04028955931133517,2.963012218475342
53,1,0.0,3.004976129471066,2.9818206749778264,0.04025291974233665,2.981820583343506
54,1,0.0,3.023450072661213,3.0006444998742574,0.04075884243312785,3.0006444454193115
55,1,0.0,3.0429224162312396,3.019482364662304,0.041264334002963345,3.019482374191284
56,1,0.0,3.0616653643713145,3.038335926907379,0.04177284629742371,3.0383360385894775
57,1,0.0,3.080428784617167,3.0572040856917497,0.04245947544507337,3.057204008102417
58,1,0.0,3.099377285223526,3.0760867250374333,0.042382724010068686,3.0760865211486816
59,1,0.0,3.118321489927259,3.094983848887477,0.042557382731159006,3.0949838161468506
60,1,0.0,3.1375884123088005,3.1138953616724714,0.04353997127273428,3.1138954162597656
61,1,0.0,3.1570820996619973,3.1328185838652343,0.044062594950478186,3.1328186988830566
62,1,0.0,3.1758180353560723,3.1517570614135764,0.04454173027877466,3.151757001876831
63,1,0.0,3.1944738840679396,3.1707075386429984,0.04492583850428993,3.1707074642181396
64,1,0.0,3.2129369210162695,3.189671651637339,0.045379822066552895,3.189671754837036
65,1,0.0,3.2321202630637593,3.208648297612206,0.04624894313143778,3.208648204803467
66,1,0.0,3.2508639498911185,3.2276379513985973,0.04674386217711355,3.227638006210327
67,1,0.0,3.2692205105617895,3.2466400539169187,0.046626959169935984,3.2466399669647217
68,1,0.0,3.287617694851468,3.2656535417843333,0.047173154553958305,3.265653610229492
69,1,0.0,3.305990469017688,3.284679239805513,0.04727122979663708,3.2846791744232178
70,1,0.0,3.3256062037017045,3.3037165947517986,0.04819102519899976,3.3037166595458984
71,1,0.0,3.344589748836111,3.3227652513901904,0.048965350053014695,3.322765350341797
72,1,0.0,3.3636449143031193,3.341825014946781,0.04919234712169758,3.341825008392334
73,1,0.0,3.3828026507183204,3.360895873953477,0.048738333413838625,3.360895872116089
74,1,0.0,3.401680297205738,3.379977734723715,0.04923479858249126,3.3799777030944824
75,1,0.0,3.4205669002731494,3.3990698565177997,0.04992663347874585,3.3990700244903564
76,1,0.0,3.4396725857865698,3.4181721557406686,0.049964586374849185,3.4181721210479736
77,1,0.0,3.4586489945943857,3.4372859868900774,0.050210206496798415,3.437285900115967
78,1,0.0,3.4776576207882632,3.456408068506395,0.04974207492881659,3.4564082622528076
79,1,0.0,3.4963115437649765,3.4755417930475865,0.04963381423540112,3.475541830062866
80,1,0.0,3.515260299508302,3.494683468784559,0.04976724044665967,3.4946835041046143
81,1,0.0,3.5346969712073535,3.513836174155537,0.05060060026154933,3.513836145401001
82,1,0.0,3.5537458593050792,3.532996720455347,0.05089513222989125,3.532996654510498
83,1,0.0,3.572423873918905,3.552167649272217,0.05145926782977066,3.5521676540374756
84,1,0.0,3.59102618315175,3.5713472187715354,0.05151262494854689,3.571347236633301
85,1,0.0,3.6095478869544797,3.5905361791571577,0.05218316140563916,3.590536117553711
86,1,0.0,3.628330519167596,3.6097350941507744,0.05252918730955249,3.6097350120544434
87,1,0.0,3.6474050491943824,3.6289424502014165,0.05276548546410007,3.6289424896240234
88,1,0.0,3.6661462596049947,3.6481581102181417,0.05275869411811515,3.648158073425293
89,1,0.0,3.684793942930375,3.667381895307792,0.05301152246384347,3.667381763458252
90,1,0.0,3.7041409625624064,3.6866144104002596,0.05296182759548827,3.6866142749786377
91,1,0.0,3.723223024388204,3.705854171754004,0.05323844932754741,3.7058541774749756
92,1,0.0,3.7428999363133535,3.7251024229740324,0.05393647117031053,3.725102424621582
93,1,0.0,3.761592399523173,3.744357547907127,0.05437936360660499,3.7443575859069824
94,1,0.0,3.7813312307719835,3.76362193376331,0.05479626155883909,3.7636220455169678
95,1,0.0,3.8004464768244994,3.7828938148477818,0.05471323470738783,3.7828938961029053
96,1,0.0,3.8004829842653636,3.782898467867095,0.05470864836995474,3.782898426055908
97,1,0.0,3.7844754950158537,3.7669367453070395,0.05482258098136951,3.766936779022217
98,1,0.0,3.7685254345059547,3.7510143450169533,0.05501554055565889,3.751014232635498
99,1,0.0,3.752244102147139,3.7351309124497165,0.05563126695664401,3.735130786895752
100,1,0.0,3.7371027644056816,3.719287594134203,0.05573993606575558,3.719287633895874
101,1,0.0,3.7207670663778196,3.703482801601385,0.05578820289059775,3.7034828662872314
102,1,0.0,3.705082786223502,3.68771896870209,0.055920957205077976,3.6877191066741943
103,1,0.0,0.6821760551597187,3.671996095571595,3.194211923781863,3.6719961166381836
104,1,0.0,0.6253205877051751,3.6563142746853003,3.2426198158646304,3.6563143730163574
105,1,0.0,0.5681089291216888,3.6406739171880536,3.2933381606475196,3.640673875808716
106,1,0.0,0.5139170224832644,3.6250761484661953,3.344820145808529,3.6250760555267334
107,1,0.0,0.46360320877821654,3.609522189982148,3.393043668440784,3.6095221042633057
108,1,0.0,0.41477381126127305,3.5940112336417527,3.435711810612302,3.5940113067626953
109,1,0.0,0.3727420118548965,3.5785438959717997,3.4776127793398457,3.5785439014434814
110,1,0.0,0.337317774217659,3.5631196208132767,3.515898446950441,3.563119649887085
111,1,0.0,0.30926426716271394,3.5477419268699717,3.5522918572302493,3.5477418899536133
112,1,0.0,0.28915839084197464,3.532410057322437,3.587166170320851,3.532409906387329
113,1,0.0,0.2809123590411343,3.517125016260048,3.6168443400112666,3.517124891281128
114,1,0.0,0.2765702526331086,3.5018860822385167,3.631857632929353,3.5018858909606934
115,1,0.0,0.2766619104327535,3.486694580146309,3.647893705276164,3.486694574356079
116,1,0.0,0.28510070599567594,3.4867006493300825,3.6713633782047697,3.4867007732391357
117,1,0.0,0.2872520329717146,3.4814093161077673,3.6987184267935955,3.4814093112945557
118,1,0.0,0.29763053751335944,3.476226803724493,3.7245812123002233,3.476226806640625
119,1,0.0,0.309225834962516,3.471150434313861,3.7467037471080165,3.4711503982543945
120,1,0.0,0.32091436985628197,3.466182732156062,3.763933853765383,3.4661827087402344
121,1,0.0,0.33681102541321906,3.46132342810361,3.7815303324350884,3.4613234996795654
122,1,0.0,0.3486246570145131,3.4565729525293984,3.7933674618284283,3.4565727710723877
123,1,0.0,0.36588055770973965,3.451930213502501,3.8107894969758127,3.451930284500122
124,1,0.0,0.38203805879416464,3.4473985811884016,3.8260028958064662,3.4473986625671387
125,1,0.0,0.3974954116352493,3.442976721175508,3.839539943755578,3.442976713180542
126,1,0.0,0.40816446153511265,3.438664796079632,3.8467343677185775,3.4386649131774902
127,1,0.0,0.42957887070659395,3.4344643724474224,3.863304441307388,3.434464454650879
128,1,0.0,0.44691596959375446,3.4303751704389462,3.8756616420983545,3.430375099182129
129,1,0.0,0.46908465571778285,3.4263975729871796,3.892013452419236,3.4263975620269775
130,1,0.0,0.48991170683187324,3.422530828175213,3.90665744871841,3.4225308895111084
131,1,0.0,0.5121409009812956,3.418778550327329,3.9224221917185993,3.418778419494629
132,1,0.0,0.5346769880001845,3.415137851616905,3.938782636458969,3.415138006210327
133,1,0.0,0.553667429969905,3.4116098338226877,3.9495851331964222,3.4116098880767822
134,1,0.0,0.5718929172313374,3.4081957370877585,3.9579516447584164,3.408195734024048
135,1,0.0,0.5938943980550241,3.4048963892413284,3.971246598099122,3.4048962593078613
136,1,0.0,0.6083861839220664,3.401711399217432,3.9782817005032305,3.4017112255096436
137,1,0.0,0.6295708697345508,3.3986399353077994,3.9927568419285016,3.3986399173736572
138,1,0.0,0.6524627187348222,3.395682298240741,4.007591261111012,3.3956823348999023
139,1,0.0,0.6748207199098426,3.3928416351810395,4.022468529532978,3.3928415775299072
